client_id,age,sexe,profession,secteur,duree_emploi_annees,revenu_mensuel_TND,region,contract_id,date_debut,duree_mois,montant_leasing_TND,mensualite_TND,taux_annuel_pourcent,type_bien,valeur_bien_TND,apport_TND,nb_retards_30,nb_retards_60,nb_retards_90,nb_incidents,dernier_retard_date,outstanding_balance_TND,nb_paiements_effectues,credit_score,collateral_type,collateral_value_TND,nb_contrats_prev,nb_contacts_service_client,motifs_contacts,default_flag,recovery_amount_TND,write_off_flag,branch_id,channel,created_at,probabilite_defaut,has_no_default_date
C00011,31,Femme,Artisan,Industrie,26,4770,La Manouba,L000011,2022-06-03,36,62241,1853.92,5.84,Voiture,63543,5681,0,1,0,1,2023-05-13,23308.75,33,739,Hypothèque,1785,2,11,Autre,0,0,0,AG003,Mobile,2022-06-03,0.22,1
C00012,44,Femme,Commerçant,Transport,29,2840,Tozeur,L000012,2022-01-08,24,146439,6242.62,8.72,Machine,149521,3678,0,0,0,0,2025-07-12,27829.12,18,547,Aucune,6242,0,18,Renégociation,0,0,0,AG001,Courtier,2022-01-08,0.33,1
C00013,56,Homme,Indépendant,Transport,33,6727,Sousse,L000013,2020-10-17,24,70030,3036.92,6.99,Immobilier,74367,14102,1,1,1,3,2024-08-13,60919.25,4,794,Hypothèque,24529,1,16,Demande info,1,51339,1,AG003,Courtier,2020-10-17,0.57,0
C00014,60,Homme,Commerçant,Transport,36,1383,Sidi Bouzid,L000014,2021-07-29,24,110185,4788.04,5.33,Machine,111211,16720,2,0,0,2,2021-11-15,52728.5,8,513,Aucune,112616,3,6,Demande info,0,0,0,AG001,Mobile,2021-07-29,0.28,1
C00015,44,Homme,Artisan,Industrie,5,6215,Le Kef,L000015,2021-12-05,48,41404,1044.58,9.68,Machine,43569,1667,0,1,0,1,2024-06-28,11111.08,23,720,Nantissement,64399,0,8,Renégociation,0,0,0,AG001,Courtier,2021-12-05,0.25,1
C00016,23,Homme,Indépendant,Agriculture,6,5131,Kasserine,L000016,2024-07-11,36,60182,1743.72,11.04,équipement,61820,17293,2,1,0,3,2024-07-31,41001.06,12,801,Hypothèque,6356,3,13,Autre,0,0,0,AG004,Mobile,2024-07-11,0.2,1
C00017,42,Femme,Indépendant,Agriculture,31,2903,Nabeul,L000017,2024-05-03,24,37991,1768.96,6.14,Voiture,38950,8204,3,0,0,3,2024-12-03,2611.83,11,566,Nantissement,85380,2,19,Renégociation,0,0,0,AG003,Agence,2024-05-03,0.15,1
C00018,22,Femme,Agriculteur,Commerce,31,2742,Béja,L000018,2024-10-13,24,109601,4673.71,10.69,Machine,112653,5122,0,0,0,0,2025-07-12,58190.21,18,699,Hypothèque,18220,2,11,Demande info,0,0,0,AG001,Mobile,2024-10-13,0.14,1
C00019,44,Homme,Agriculteur,Transport,24,5255,Béja,L000019,2023-02-13,24,70886,3048.58,10.97,Machine,75806,11217,2,0,1,3,2024-12-17,19060.08,8,517,Nantissement,97222,4,14,Renégociation,1,14735,1,AG003,Mobile,2023-02-13,0.53,0
C00020,64,Homme,Employé,Agriculture,32,6826,Mahdia,L000020,2020-10-13,12,127002,10654.5,11.4,Immobilier,130310,15583,2,0,0,2,2024-01-25,20457.0,9,499,Hypothèque,88198,4,11,Autre,0,0,0,AG003,Courtier,2020-10-13,0.15,1
C00021,50,Femme,Cadre,Commerce,6,909,Kairouan,L000021,2023-07-12,48,88848,1908.0,6.86,Immobilier,92246,973,2,0,2,4,2023-09-22,62136.0,41,673,Aucune,34261,4,12,Autre,1,47011,1,AG002,Courtier,2023-07-12,1.0,0
C00022,58,Homme,Agriculteur,Agriculture,11,991,Kasserine,L000022,2025-01-24,12,62692,5396.33,11.33,Machine,66435,1408,0,0,0,0,2025-07-12,19521.33,11,574,Nantissement,130792,3,8,Réclamation,0,0,0,AG004,Courtier,2025-01-24,0.31,1
C00023,22,Femme,Commerçant,Transport,15,1703,Mahdia,L000023,2024-10-30,48,42500,954.42,7.24,Voiture,47068,10135,1,0,0,1,2025-02-17,32955.83,13,558,Aucune,103467,4,6,Renégociation,0,0,0,AG003,Agence,2024-10-30,0.33,1
C00024,41,Homme,Agriculteur,Services,15,6012,Kasserine,L000024,2020-12-06,24,38785,1743.04,8.87,Machine,41616,18672,0,0,0,0,2025-07-12,31812.83,7,783,Hypothèque,42380,1,0,Renégociation,0,0,0,AG003,Agence,2020-12-06,0.11,1
C00025,53,Homme,Employé,Transport,35,1661,Kebili,L000025,2023-11-25,36,89146,2564.28,5.35,Machine,93331,8738,4,2,0,6,2025-04-04,63503.22,19,626,Aucune,79833,3,9,Demande info,1,45185,1,AG003,Agence,2023-11-25,0.75,0
C00026,32,Homme,Indépendant,Industrie,12,7511,Béja,L000026,2023-06-23,60,52997,969.28,5.31,équipement,54128,14349,0,1,0,1,2024-01-17,27795.63,3,822,Hypothèque,104008,3,5,Autre,0,0,0,AG004,Courtier,2023-06-23,0.12,1
C00027,42,Homme,Employé,Agriculture,6,1883,Nabeul,L000027,2025-07-12,60,12170,326.83,10.04,Voiture,15126,1218,0,1,1,2,2025-07-24,5633.33,37,437,Aucune,88324,4,14,Renégociation,1,3032,1,AG004,Mobile,2025-07-12,0.96,0
C00028,64,Homme,Indépendant,Agriculture,35,1449,Sousse,L000028,2024-08-31,24,149375,6390.96,8.11,équipement,150856,17804,0,0,0,0,2025-07-12,72683.5,11,830,Nantissement,127718,4,14,Demande info,0,0,0,AG003,Mobile,2024-08-31,0.11,1
C00029,45,Homme,Indépendant,Industrie,8,4934,Jendouba,L000029,2020-08-10,12,76743,6548.25,6.79,Voiture,81560,3377,2,1,0,3,2021-09-08,17808.75,11,597,Hypothèque,104992,3,8,Réclamation,0,0,0,AG004,Mobile,2020-08-10,0.27,1
C00030,47,Homme,Cadre,Industrie,31,4411,Béja,L000030,2021-04-03,36,40187,1196.31,6.33,Voiture,42243,10964,0,3,0,3,2022-08-04,22242.42,4,535,Aucune,27011,2,12,Renégociation,1,11005,1,AG002,Courtier,2021-04-03,0.69,0
C00031,62,Femme,Agriculteur,Services,10,1436,Ariana,L000031,2025-04-06,48,137965,3046.27,9.69,Voiture,140670,4098,1,0,0,1,2025-05-08,110548.56,41,503,Hypothèque,93593,2,0,Renégociation,0,0,0,AG004,Courtier,2025-04-06,0.29,1
C00032,48,Femme,Commerçant,Agriculture,7,1836,Siliana,L000032,2025-02-06,24,149825,6345.71,5.0,équipement,154768,19122,1,0,0,1,2025-04-23,105405.04,5,592,Hypothèque,118339,4,8,Demande info,0,0,0,AG002,Agence,2025-02-06,0.35,1
C00033,36,Femme,Commerçant,Agriculture,32,4931,Bizerte,L000033,2024-02-10,36,43090,1279.94,10.64,équipement,47545,7619,1,1,0,2,2025-05-24,9811.44,13,649,Hypothèque,149519,2,2,Demande info,0,0,0,AG002,Courtier,2024-02-10,0.4,1
C00034,35,Femme,Artisan,Services,22,2948,Zaghouan,L000034,2025-04-26,36,64412,1960.22,5.55,équipement,65833,11939,1,0,0,1,2025-06-19,17366.67,5,412,Caution solidaire,83940,1,8,Autre,0,0,0,AG002,Mobile,2025-04-26,0.34,1
C00035,64,Femme,Indépendant,Commerce,24,4665,Tozeur,L000035,2023-12-23,48,61030,1433.46,6.34,Immobilier,61934,18226,0,0,0,0,2025-07-12,43828.5,13,454,Hypothèque,86677,1,19,Autre,0,0,0,AG001,Agence,2023-12-23,0.27,1
C00036,23,Homme,Commerçant,Services,7,3957,Béja,L000036,2020-09-29,36,22509,736.25,7.7,équipement,24629,19200,1,0,0,1,2021-01-30,7784.0,11,743,Aucune,113570,1,14,Autre,0,0,0,AG004,Agence,2020-09-29,0.06,1
C00037,57,Homme,Cadre,Transport,21,4387,Médenine,L000037,2024-06-19,12,73653,6209.75,8.39,Immobilier,77105,16878,0,0,0,0,2025-07-12,23975.0,10,484,Caution solidaire,64583,3,6,Renégociation,0,0,0,AG003,Courtier,2024-06-19,0.24,1
C00038,27,Femme,Indépendant,Agriculture,3,4094,Béja,L000038,2022-10-28,12,134626,11313.83,7.48,Immobilier,138244,6560,0,0,0,0,2025-07-12,66743.0,5,508,Aucune,63056,3,3,Demande info,0,0,0,AG002,Agence,2022-10-28,0.2,1
C00039,41,Homme,Cadre,Industrie,39,6257,Monastir,L000039,2023-01-30,12,9042,858.5,7.24,Immobilier,11136,5510,3,1,0,4,2023-05-20,6466.5,9,442,Caution solidaire,81468,3,19,Autre,0,0,0,AG003,Agence,2023-01-30,0.35,1
C00040,29,Femme,Commerçant,Transport,2,6879,Mahdia,L000040,2024-03-19,36,42201,1356.25,11.75,Machine,43266,3444,1,1,0,2,2024-05-24,0.0,11,787,Hypothèque,122897,3,16,Renégociation,0,0,0,AG002,Courtier,2024-03-19,0.19,1
C00041,59,Femme,Commerçant,Agriculture,28,5061,Gabès,L000041,2023-01-24,12,19016,1751.67,9.49,Machine,22384,7543,0,1,0,1,2023-10-10,0.0,7,470,Nantissement,12017,3,3,Autre,0,0,0,AG003,Agence,2023-01-24,0.39,1
C00042,38,Homme,Artisan,Services,28,3230,Sousse,L000042,2024-02-06,48,30022,805.46,5.16,Machine,31379,12429,0,0,0,0,2025-07-12,4247.33,9,843,Nantissement,37880,4,18,Réclamation,0,0,0,AG001,Mobile,2024-02-06,0.08,1
C00043,24,Homme,Commerçant,Transport,33,2679,Jendouba,L000043,2022-11-18,36,32938,1076.94,8.01,Immobilier,34722,7253,0,0,0,0,2025-07-12,11399.11,15,667,Hypothèque,1355,2,4,Renégociation,0,0,0,AG002,Courtier,2022-11-18,0.18,1
C00044,45,Homme,Indépendant,Agriculture,33,4766,Zaghouan,L000044,2021-09-24,60,123171,2145.85,11.13,Immobilier,124255,13775,1,1,0,2,2022-11-10,13732.65,51,458,Caution solidaire,106360,4,15,Autre,1,10685,1,AG001,Mobile,2021-09-24,0.51,0
C00045,34,Femme,Indépendant,Commerce,27,7733,Tataouine,L000045,2020-11-26,36,66720,2030.33,7.11,Voiture,71547,45,0,0,1,1,2021-08-21,26113.33,25,837,Aucune,58936,2,2,Autre,0,0,0,AG001,Mobile,2020-11-26,0.32,1
C00046,29,Homme,Indépendant,Commerce,12,4513,Kebili,L000046,2023-01-05,48,110514,2459.38,5.66,Immobilier,112259,15597,0,0,0,0,2025-07-12,90839.0,7,443,Nantissement,47266,4,10,Réclamation,0,0,0,AG004,Mobile,2023-01-05,0.27,1
C00047,46,Femme,Artisan,Industrie,14,4926,Médenine,L000047,2022-09-22,60,138058,2366.97,10.31,Machine,138609,2057,1,1,0,2,2024-03-25,773.93,40,671,Hypothèque,99138,1,14,Réclamation,0,0,0,AG003,Mobile,2022-09-22,0.23,1
C00048,22,Femme,Artisan,Agriculture,22,4906,Médenine,L000048,2021-04-13,36,81478,2371.28,9.24,Immobilier,84141,663,1,0,0,1,2022-12-05,0.0,28,789,Hypothèque,60656,0,18,Autre,0,0,0,AG002,Agence,2021-04-13,0.01,1
C00049,40,Femme,Commerçant,Commerce,25,2811,Gabès,L000049,2022-08-12,12,148233,12539.75,8.99,Immobilier,149270,4668,0,0,0,0,2025-07-12,22835.5,3,413,Caution solidaire,54104,3,13,Autre,0,0,0,AG001,Agence,2022-08-12,0.34,1
C00050,48,Homme,Employé,Services,3,4173,Sidi Bouzid,L000050,2021-01-21,24,132101,5652.21,5.38,Voiture,133141,18413,1,1,1,3,2024-07-09,58622.29,16,770,Nantissement,76844,0,15,Demande info,1,36671,1,AG003,Courtier,2021-01-21,0.67,0
C00051,27,Homme,Employé,Agriculture,25,2943,Zaghouan,L000051,2021-03-12,24,99699,4287.12,5.98,Immobilier,101013,5717,0,1,0,1,2021-07-06,61114.88,18,511,Hypothèque,969,0,5,Autre,1,57372,1,AG004,Courtier,2021-03-12,0.51,0
C00052,64,Femme,Artisan,Services,39,3300,Médenine,L000052,2021-04-02,12,104273,8884.42,9.36,équipement,106188,2696,1,1,1,3,2023-10-24,50966.5,0,778,Nantissement,98896,1,4,Autre,1,45019,1,AG003,Mobile,2021-04-02,0.71,0
C00053,28,Homme,Commerçant,Services,8,7135,Béja,L000053,2021-02-27,24,68745,2958.38,6.45,Voiture,72083,13200,0,1,0,1,2021-12-12,24369.38,6,713,Aucune,254,0,16,Demande info,0,0,0,AG003,Mobile,2021-02-27,0.14,1
C00054,55,Homme,Employé,Commerce,4,5381,Mahdia,L000054,2023-01-22,24,137283,5877.12,8.53,Immobilier,139435,16101,0,0,0,0,2025-07-12,43249.0,0,814,Hypothèque,141378,0,15,Demande info,0,0,0,AG004,Courtier,2023-01-22,0.03,1
C00055,34,Homme,Commerçant,Agriculture,31,2089,Tozeur,L000055,2021-04-09,12,136301,11469.42,8.81,Immobilier,139466,8831,0,1,0,1,2022-06-04,78953.92,10,627,Hypothèque,65516,1,1,Autre,0,0,0,AG004,Courtier,2021-04-09,0.41,1
C00056,37,Femme,Commerçant,Transport,19,2247,Zaghouan,L000056,2021-03-31,12,123972,10439.0,6.98,Voiture,128534,19047,2,1,0,3,2022-05-25,71777.0,3,568,Aucune,93077,2,10,Demande info,0,0,0,AG004,Courtier,2021-03-31,0.43,1
C00057,56,Femme,Commerçant,Commerce,10,3999,Gafsa,L000057,2025-07-24,36,106489,3145.03,11.64,Immobilier,109345,19129,2,0,0,2,2025-07-28,0.0,28,775,Hypothèque,149295,4,3,Renégociation,0,0,0,AG001,Courtier,2025-07-24,0.02,1
C00058,60,Homme,Agriculteur,Commerce,14,7181,Bizerte,L000058,2021-07-30,36,36819,1082.75,10.9,Machine,41129,5004,0,1,0,1,2025-04-12,30322.5,13,690,Caution solidaire,67967,0,5,Réclamation,0,0,0,AG003,Mobile,2021-07-30,0.19,1
C00059,24,Femme,Indépendant,Agriculture,31,2743,La Manouba,L000059,2024-01-20,12,52779,4549.25,10.06,équipement,54142,13156,0,1,0,1,2024-06-29,2737.25,0,645,Aucune,50117,3,6,Renégociation,0,0,0,AG004,Courtier,2024-01-20,0.37,1
C00060,22,Homme,Commerçant,Agriculture,27,6859,Bizerte,L000060,2023-03-12,48,97244,2144.92,5.55,équipement,97929,4402,0,0,0,0,2025-07-12,26461.75,12,665,Caution solidaire,1737,1,16,Réclamation,0,0,0,AG003,Agence,2023-03-12,0.09,1
C00061,26,Homme,Agriculteur,Services,21,3983,Tozeur,L000061,2023-03-20,24,70584,3113.0,5.74,Machine,75440,10787,1,0,0,1,2023-09-01,23889.0,1,736,Aucune,82404,0,7,Réclamation,0,0,0,AG003,Mobile,2023-03-20,0.08,1
C00062,62,Homme,Artisan,Agriculture,16,6747,Médenine,L000062,2024-09-15,36,63032,1833.89,8.45,Immobilier,65083,14662,1,0,0,1,2024-09-20,35523.67,26,642,Aucune,143398,2,0,Autre,0,0,0,AG001,Agence,2024-09-15,0.08,1
C00063,24,Homme,Employé,Services,25,6365,Nabeul,L000063,2024-06-10,24,120074,5153.08,6.12,Immobilier,122781,19811,1,0,0,1,2025-01-23,47930.83,13,557,Caution solidaire,12911,2,14,Réclamation,0,0,0,AG003,Courtier,2024-06-10,0.03,1
C00064,49,Femme,Indépendant,Commerce,6,6262,Bizerte,L000064,2022-12-21,60,104273,1931.88,11.85,équipement,105534,5912,0,0,0,0,2025-07-12,28929.55,32,699,Aucune,22635,3,19,Renégociation,0,0,0,AG001,Agence,2022-12-21,0.07,1
C00065,38,Femme,Employé,Industrie,25,4016,Zaghouan,L000065,2021-02-11,12,33036,2906.0,6.11,Immobilier,37855,394,3,0,1,4,2024-04-06,18506.0,12,838,Nantissement,51179,0,11,Autre,0,0,0,AG004,Courtier,2021-02-11,0.47,1
C00066,46,Femme,Indépendant,Transport,24,3936,Ariana,L000066,2025-02-15,48,76356,1679.75,8.41,équipement,78135,14635,0,0,1,1,2025-02-27,32682.5,36,726,Caution solidaire,136285,3,14,Demande info,0,0,0,AG004,Agence,2025-02-15,0.43,1
C00067,64,Homme,Employé,Commerce,9,4118,La Manouba,L000067,2025-04-16,60,8052,202.2,7.55,équipement,12827,3597,2,0,0,2,2025-06-04,0.0,38,417,Aucune,63545,2,14,Renégociation,0,0,0,AG003,Mobile,2025-04-16,0.25,1
C00068,54,Homme,Indépendant,Agriculture,18,3582,Bizerte,L000068,2020-12-09,60,49377,938.95,9.48,Machine,53571,10524,3,0,1,4,2023-03-09,33414.85,18,482,Caution solidaire,125918,2,8,Autre,1,29897,1,AG001,Agence,2020-12-09,0.64,0
C00069,30,Homme,Employé,Transport,10,1790,Sousse,L000069,2021-09-19,60,72819,1344.65,5.9,équipement,76600,329,0,0,0,0,2025-07-12,14999.05,45,734,Aucune,48604,4,15,Réclamation,0,0,0,AG001,Mobile,2021-09-19,0.17,1
C00070,56,Femme,Employé,Industrie,12,5720,Sidi Bouzid,L000070,2024-12-06,12,118689,10003.75,8.01,Immobilier,120725,17156,3,0,0,3,2025-05-10,78674.0,7,630,Aucune,74332,2,1,Renégociation,0,0,0,AG002,Agence,2024-12-06,0.06,1
C00071,34,Homme,Employé,Industrie,7,6358,Gafsa,L000071,2022-05-07,36,35461,1117.03,6.92,Immobilier,39125,1645,0,2,0,2,2024-12-01,17588.56,13,741,Nantissement,49119,1,14,Réclamation,0,0,0,AG002,Agence,2022-05-07,0.39,1
C00072,51,Femme,Employé,Services,39,2953,Ben Arous,L000072,2023-01-30,12,25750,2241.83,11.21,Voiture,29020,18171,1,1,0,2,2025-05-13,19024.5,4,652,Nantissement,82888,4,14,Autre,0,0,0,AG004,Mobile,2023-01-30,0.42,1
C00073,35,Femme,Artisan,Transport,3,7124,Tunis,L000073,2022-06-26,36,14472,457.0,5.28,Immobilier,16935,9815,1,0,0,1,2024-10-20,3961.0,4,566,Nantissement,61604,3,6,Autre,0,0,0,AG004,Mobile,2022-06-26,0.06,1
C00074,28,Femme,Commerçant,Services,30,7127,La Manouba,L000074,2021-11-17,60,74263,1302.72,11.4,Voiture,78608,17383,1,1,1,3,2025-07-12,57327.68,60,441,Aucune,16820,2,12,Demande info,1,25836,1,AG002,Courtier,2021-11-17,0.78,0
C00075,34,Femme,Cadre,Commerce,27,1025,Nabeul,L000075,2021-12-11,60,117036,2145.6,10.83,équipement,120971,1848,1,0,0,1,2023-04-14,46231.2,52,648,Nantissement,76502,1,16,Demande info,0,0,0,AG001,Mobile,2021-12-11,0.27,1
C00076,43,Femme,Agriculteur,Transport,10,1576,Gabès,L000076,2025-07-05,48,30523,723.9,7.08,Immobilier,31584,1561,1,0,0,1,2025-07-11,9530.02,23,647,Caution solidaire,112271,4,10,Renégociation,0,0,0,AG003,Mobile,2025-07-05,0.09,1
C00077,60,Femme,Cadre,Commerce,0,3637,Bizerte,L000077,2025-03-24,36,108262,3169.28,10.53,Machine,111183,773,0,0,0,0,2025-07-12,506.56,33,837,Aucune,67345,1,9,Demande info,0,0,0,AG003,Courtier,2025-03-24,0.01,1
C00078,41,Homme,Cadre,Services,37,6008,Tataouine,L000078,2022-12-20,60,71060,1373.33,5.22,Machine,73695,7311,4,1,0,5,2024-08-09,24366.67,49,779,Caution solidaire,40875,4,0,Réclamation,0,0,0,AG001,Mobile,2022-12-20,0.24,1
C00079,36,Homme,Indépendant,Transport,23,1487,Kairouan,L000079,2023-01-23,24,14079,773.62,11.77,Machine,16640,15203,1,0,0,1,2024-12-20,2474.62,23,685,Nantissement,71041,4,13,Réclamation,0,0,0,AG004,Mobile,2023-01-23,0.18,1
C00080,38,Femme,Commerçant,Services,30,1329,Siliana,L000080,2022-05-21,48,144471,3129.81,8.69,équipement,147151,18187,1,0,0,1,2025-07-08,116302.69,8,419,Aucune,70793,4,4,Demande info,0,0,0,AG003,Agence,2022-05-21,0.34,1
C00081,44,Femme,Indépendant,Transport,25,4242,Médenine,L000081,2024-08-16,12,65726,5636.17,7.12,équipement,68186,9290,0,2,0,2,2024-12-24,9364.33,10,781,Caution solidaire,4909,3,7,Demande info,1,3670,1,AG001,Courtier,2024-08-16,0.51,0
C00082,46,Homme,Commerçant,Services,4,5867,Jendouba,L000082,2021-05-15,48,97906,2143.71,7.54,Voiture,102285,2050,1,0,0,1,2024-04-08,91474.88,27,751,Hypothèque,92881,4,0,Demande info,0,0,0,AG003,Courtier,2021-05-15,0.03,1
C00083,45,Femme,Commerçant,Industrie,19,5831,Médenine,L000083,2022-03-01,24,21532,1075.17,5.46,Machine,25311,17131,1,0,0,1,2022-11-15,17231.33,9,780,Caution solidaire,14866,4,6,Renégociation,0,0,0,AG001,Agence,2022-03-01,0.07,1
C00084,61,Femme,Employé,Services,10,6318,Gafsa,L000084,2023-04-20,36,127689,3644.92,11.93,Voiture,132073,3973,2,0,1,3,2024-04-15,109464.42,25,441,Aucune,90404,1,1,Renégociation,1,86814,1,AG002,Courtier,2023-04-20,0.57,0
C00085,49,Homme,Artisan,Industrie,32,2953,Mahdia,L000085,2021-04-28,12,48162,4083.5,5.28,Voiture,51932,1615,0,0,0,0,2025-07-12,31828.0,1,744,Hypothèque,65997,4,6,Réclamation,0,0,0,AG002,Agence,2021-04-28,0.19,1
C00086,35,Femme,Employé,Services,37,2094,Nabeul,L000086,2022-03-04,12,139821,11737.75,9.58,Immobilier,140903,14550,0,0,0,0,2025-07-12,92870.0,3,486,Nantissement,28460,3,6,Renégociation,0,0,0,AG003,Mobile,2022-03-04,0.28,1
C00087,21,Femme,Artisan,Transport,26,6894,Sfax,L000087,2025-06-25,36,16353,619.25,8.1,Immobilier,18466,10494,2,0,0,2,2025-07-10,13256.75,7,660,Nantissement,48500,1,8,Renégociation,0,0,0,AG003,Courtier,2025-06-25,0.0,1
C00088,45,Femme,Indépendant,Transport,33,7774,La Manouba,L000088,2024-04-04,48,117313,2517.02,11.64,Machine,118914,5506,0,0,0,0,2025-07-12,92142.79,17,705,Caution solidaire,12128,4,3,Autre,0,0,0,AG003,Mobile,2024-04-04,0.01,1
C00089,27,Homme,Artisan,Transport,14,2326,Tunis,L000089,2023-03-03,60,33477,661.95,6.72,équipement,34265,13054,1,2,0,3,2024-11-02,22885.8,19,696,Nantissement,5202,1,6,Réclamation,1,21902,1,AG003,Courtier,2023-03-03,0.61,0
C00090,29,Homme,Indépendant,Agriculture,31,5574,Médenine,L000090,2022-03-04,48,91373,1977.6,8.72,Immobilier,95732,13861,3,0,0,3,2022-09-12,41932.9,31,749,Caution solidaire,101243,3,19,Réclamation,0,0,0,AG002,Mobile,2022-03-04,0.06,1
C00091,44,Homme,Cadre,Commerce,20,3696,Jendouba,L000091,2021-04-06,24,147509,6330.21,8.38,équipement,151069,11587,1,0,0,1,2023-02-17,71546.5,16,639,Caution solidaire,79258,1,17,Demande info,0,0,0,AG002,Courtier,2021-04-06,0.16,1
C00092,21,Femme,Cadre,Transport,4,3903,Médenine,L000092,2021-09-11,60,9551,335.18,9.92,Voiture,12977,13515,1,1,0,2,2022-04-01,1171.42,47,566,Caution solidaire,130388,3,12,Autre,0,0,0,AG001,Courtier,2021-09-11,0.48,1
C00093,64,Femme,Artisan,Industrie,5,3240,Monastir,L000093,2023-08-30,48,73359,1670.31,5.48,Voiture,77961,5854,0,1,0,1,2024-06-28,23249.62,17,712,Caution solidaire,111302,2,10,Demande info,0,0,0,AG003,Mobile,2023-08-30,0.38,1
C00094,28,Homme,Artisan,Transport,37,4935,Mahdia,L000094,2024-04-06,36,148988,4281.56,6.36,Voiture,150671,16600,0,1,0,1,2024-05-21,89046.22,6,618,Aucune,128623,4,8,Renégociation,0,0,0,AG002,Agence,2024-04-06,0.38,1
C00095,44,Femme,Indépendant,Agriculture,21,7603,Sfax,L000095,2021-04-11,24,131150,5584.58,6.5,Voiture,135985,17743,1,2,0,3,2025-05-10,8289.17,0,840,Aucune,83583,3,13,Réclamation,0,0,0,AG004,Courtier,2021-04-11,0.3,1
C00096,31,Femme,Employé,Industrie,17,4602,Kasserine,L000096,2020-09-08,24,52636,2364.17,10.17,Machine,54582,3774,0,0,0,0,2025-07-12,26630.17,0,820,Hypothèque,60064,4,7,Renégociation,0,0,0,AG001,Agence,2020-09-08,0.0,1
C00097,37,Femme,Indépendant,Agriculture,13,7924,Tozeur,L000097,2024-06-10,24,34685,1518.21,6.32,Voiture,36934,4927,1,1,0,2,2025-03-09,5839.04,17,790,Hypothèque,97119,3,13,Renégociation,0,0,0,AG001,Agence,2024-06-10,0.12,1
C00098,28,Femme,Employé,Industrie,9,6001,Monastir,L000098,2025-02-26,60,56134,995.57,9.01,Immobilier,58537,4429,0,0,1,1,2025-03-10,18302.47,3,532,Nantissement,22413,0,16,Autre,1,3323,1,AG001,Agence,2025-02-26,0.57,0
