duree_emploi_annees,date_debut,apport_TND,nb_retards_90,dernier_retard_date,outstanding_balance_TND,nb_paiements_effectues,collateral_value_TND,nb_contrats_prev,nb_contacts_service_client,default_flag,recovery_amount_TND,created_at,ratio_mensualite_revenu,sexe_Homme,profession_Artisan,profession_Cadre,profession_Commerçant,profession_Employé,profession_Indépendant,secteur_Commerce,secteur_Industrie,secteur_Services,secteur_Transport,type_bien_Machine,type_bien_Voiture,type_bien_équipement,collateral_type_Caution solidaire,collateral_type_Hypothèque,collateral_type_Nantissement,motifs_contacts_Demande info,motifs_contacts_Renégociation,motifs_contacts_Réclamation,channel_Courtier,channel_Mobile,region_encoded,nb_retards_total
35,2023-11-25,8738,0,2025-04-04,63503.22,19,79833,3,9,1,30055,2023-11-25,1.5438169777242625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9,0
12,2023-06-23,14349,0,2024-01-17,27795.63,3,104008,3,5,0,0,2023-06-23,0.1290480628411663,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0
6,2025-07-12,1218,1,2025-07-24,5633.33,37,88324,4,14,1,3032,2025-07-12,0.17356877323420072,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15,1
35,2024-08-31,17804,0,2025-07-12,72683.5,11,127718,4,14,0,0,2024-08-31,4.410600414078675,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,19,0
8,2020-08-10,3377,0,2021-09-08,17808.75,11,104992,3,8,0,0,2020-08-10,1.3271686258613702,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6,0
31,2021-04-03,10964,0,2022-08-04,22242.42,4,27011,2,12,1,11005,2021-04-03,0.2712106098390388,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,0
10,2025-04-06,4098,0,2025-05-08,110548.56,41,93593,2,0,0,0,2025-04-06,2.121357938718663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0
7,2025-02-06,19122,0,2025-04-23,105405.04,5,118339,4,8,0,0,2025-02-06,3.456269063180828,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18,0
32,2024-02-10,7619,0,2025-05-24,9811.44,13,149519,2,2,0,0,2024-02-10,0.25957006692354495,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0
22,2025-04-26,11939,0,2025-06-19,17366.67,5,83940,1,8,0,0,2025-04-26,0.664932157394844,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23,0
24,2023-12-23,18226,0,2025-07-12,43828.5,13,86677,1,19,0,0,2023-12-23,0.3072797427652733,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0
7,2020-09-29,19200,0,2021-01-30,7784.0,11,113570,1,14,0,0,2020-09-29,0.18606267374273439,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
21,2024-06-19,16878,0,2025-07-12,23975.0,10,64583,3,6,0,0,2024-06-19,1.4154889446090722,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14,0
3,2022-10-28,6560,0,2025-07-12,66743.0,5,63056,3,3,0,0,2022-10-28,2.763514899853444,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0
39,2023-01-30,5510,0,2023-05-20,6466.5,9,81468,3,19,0,0,2023-01-30,0.137206328911619,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0
2,2024-03-19,3444,0,2024-05-24,0.0,11,122897,3,16,0,0,2024-03-19,0.19715801715365605,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,12,0
28,2023-01-24,7543,0,2023-10-10,0.0,7,12017,3,3,0,0,2023-01-24,0.34611144042679315,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,0
28,2024-02-06,12429,0,2025-07-12,4247.33,9,37880,4,18,0,0,2024-02-06,0.2493684210526316,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,19,0
33,2022-11-18,7253,0,2025-07-12,11399.11,15,1355,2,4,0,0,2022-11-18,0.401993281075028,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6,0
33,2021-09-24,13775,0,2022-11-10,13732.65,51,106360,4,15,1,10685,2021-09-24,0.4502412924884599,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23,0
27,2020-11-26,45,1,2021-08-21,26113.33,25,58936,2,2,0,0,2020-11-26,0.26255398939609464,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,1
12,2023-01-05,15597,0,2025-07-12,90839.0,7,47266,4,10,0,0,2023-01-05,0.5449545756702858,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,9,0
14,2022-09-22,2057,0,2024-03-25,773.93,40,99138,1,14,0,0,2022-09-22,0.4805054811205846,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,14,0
22,2021-04-13,663,0,2022-12-05,0.0,28,60656,0,18,0,0,2021-04-13,0.4833428454953119,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0
25,2022-08-12,4668,0,2025-07-12,22835.5,3,54104,3,13,0,0,2022-08-12,4.4609569548203485,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0
3,2021-01-21,18413,1,2024-07-09,58622.29,16,76844,0,15,1,30055,2021-01-21,1.354471603163192,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,17,1
25,2021-03-12,5717,0,2021-07-06,61114.88,18,969,0,5,1,30055,2021-03-12,1.456717635066259,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23,0
39,2021-04-02,2696,1,2023-10-24,50966.5,0,98896,1,4,1,30055,2021-04-02,2.6922484848484847,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14,1
8,2021-02-27,13200,0,2021-12-12,24369.38,6,254,0,16,0,0,2021-02-27,0.4146292922214436,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,0
4,2023-01-22,16101,0,2025-07-12,43249.0,0,141378,0,15,0,0,2023-01-22,1.0921984761196804,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0
31,2021-04-09,8831,0,2022-06-04,78953.92,10,65516,1,1,0,0,2021-04-09,5.490387745332695,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21,0
19,2021-03-31,19047,0,2022-05-25,71777.0,3,93077,2,10,0,0,2021-03-31,4.645749888740543,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23,0
10,2025-07-24,19129,0,2025-07-28,0.0,28,149295,4,3,0,0,2025-07-24,0.7864541135283821,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5,0
14,2021-07-30,5004,0,2025-04-12,30322.5,13,67967,0,5,0,0,2021-07-30,0.15077983567748224,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,0
31,2024-01-20,13156,0,2024-06-29,2737.25,0,50117,3,6,0,0,2024-01-20,1.6584943492526432,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10,0
27,2023-03-12,4402,0,2025-07-12,26461.75,12,1737,1,16,0,0,2023-03-12,0.31271613937891823,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0
21,2023-03-20,10787,0,2023-09-01,23889.0,1,82404,0,7,0,0,2023-03-20,0.7815716796384635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,21,0
16,2024-09-15,14662,0,2024-09-20,35523.67,26,143398,2,0,0,0,2024-09-15,0.271808211056766,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0
25,2024-06-10,19811,0,2025-01-23,47930.83,13,12911,2,14,0,0,2024-06-10,0.8095962293794187,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15,0
6,2022-12-21,5912,0,2025-07-12,28929.55,32,22635,3,19,0,0,2022-12-21,0.3085084637496008,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,0
25,2021-02-11,394,1,2024-04-06,18506.0,12,51179,0,11,0,0,2021-02-11,0.723605577689243,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23,1
24,2025-02-15,14635,1,2025-02-27,32682.5,36,136285,3,14,0,0,2025-02-15,0.4267657520325203,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1
9,2025-04-16,3597,0,2025-06-04,0.0,38,63545,2,14,0,0,2025-04-16,0.04910150558523555,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10,0
18,2020-12-09,10524,1,2023-03-09,33414.85,18,125918,2,8,1,29897,2020-12-09,0.26213009491903966,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
10,2021-09-19,329,0,2025-07-12,14999.05,45,48604,4,15,0,0,2021-09-19,0.7512011173184358,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19,0
12,2024-12-06,17156,0,2025-05-10,78674.0,7,74332,2,1,0,0,2024-12-06,1.7489073426573427,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17,0
7,2022-05-07,1645,0,2024-12-01,17588.56,13,49119,1,14,0,0,2022-05-07,0.1756888958792073,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5,0
39,2023-01-30,18171,0,2025-05-13,19024.5,4,82888,4,14,0,0,2023-01-30,0.7591703352522858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
3,2022-06-26,9815,0,2024-10-20,3961.0,4,61604,3,6,0,0,2022-06-26,0.0641493542953397,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,22,0
30,2021-11-17,17383,1,2025-07-12,57327.68,60,16820,2,12,1,25836,2021-11-17,0.18278658622141153,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10,1
27,2021-12-11,1848,0,2023-04-14,46231.2,52,76502,1,16,0,0,2021-12-11,2.093268292682927,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,15,0
10,2025-07-05,1561,0,2025-07-11,9530.02,23,112271,4,10,0,0,2025-07-05,0.4593274111675127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4,0
0,2025-03-24,773,0,2025-07-12,506.56,33,67345,1,9,0,0,2025-03-24,0.8713995050866099,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0
37,2022-12-20,7311,0,2024-08-09,24366.67,49,40875,4,0,0,0,2022-12-20,0.2285835552596538,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,20,0
23,2023-01-23,15203,0,2024-12-20,2474.62,23,71041,4,13,0,0,2023-01-23,0.5202555480833894,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7,0
30,2022-05-21,18187,0,2025-07-08,116302.69,8,70793,4,4,0,0,2022-05-21,2.3550112866817154,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,0
25,2024-08-16,9290,0,2024-12-24,9364.33,10,4909,3,7,1,3670,2024-08-16,1.3286586515794436,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14,0
4,2021-05-15,2050,0,2024-04-08,91474.88,27,92881,4,0,0,0,2021-05-15,0.36538435316175216,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6,0
19,2022-03-01,17131,0,2022-11-15,17231.33,9,14866,4,6,0,0,2022-03-01,0.18438861258789233,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14,0
10,2023-04-20,3973,1,2024-04-15,109464.42,25,90404,1,1,1,30055,2023-04-20,0.5769104146881925,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5,1
32,2021-04-28,1615,0,2025-07-12,31828.0,1,65997,4,6,0,0,2021-04-28,1.3828310193024043,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12,0
37,2022-03-04,14550,0,2025-07-12,92870.0,3,28460,3,6,0,0,2022-03-04,5.605420248328557,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,15,0
26,2025-06-25,10494,0,2025-07-10,13256.75,7,48500,1,8,0,0,2025-06-25,0.089824485059472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,16,0
33,2024-04-04,5506,0,2025-07-12,92142.79,17,12128,4,3,0,0,2024-04-04,0.3237741188577309,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,0
14,2023-03-03,13054,0,2024-11-02,22885.8,19,5202,1,6,1,21902,2023-03-03,0.2845872742906277,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,22,0
31,2022-03-04,13861,0,2022-09-12,41932.9,31,101243,3,19,0,0,2022-03-04,0.3547900968783638,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14,0
20,2021-04-06,11587,0,2023-02-17,71546.5,16,79258,1,17,0,0,2021-04-06,1.712719155844156,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6,0
4,2021-09-11,13515,0,2022-04-01,1171.42,47,130388,3,12,0,0,2021-09-11,0.0858775301050474,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14,0
5,2023-08-30,5854,0,2024-06-28,23249.62,17,111302,2,10,0,0,2023-08-30,0.5155277777777778,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13,0
